Ratio,accuracy-at-1,recall-at-p90,uAP
0,0.680899978,0.585500002,0.656440139
0.1,0.671299994,0.572399974,0.647163332
0.2,0.647000015,0.535899997,0.616065741
0.3,0.621900022,0.504299998,0.588212669
0.4,0.601800025,0.473100007,0.565855861
0.5,0.5528,0.424899995,0.518346965
0.6,0.51730001,0.394899994,0.483314246
0.7,0.423099995,0.309500009,0.387585878
0.8,0.171599999,0.083999999,0.130418286
0.9,0.029999999,0.0185,0.023315364
1,0,0,2.10E-08
