Ratio,accuracy-at-1,recall-at-p90,uAP
0,0.680899978,0.585500002,0.656440139
0.1,0.670700014,0.575500011,0.647403538
0.2,0.64410001,0.537699997,0.617666125
0.3,0.617699981,0.502600014,0.586401343
0.4,0.591600001,0.473100007,0.557385266
0.5,0.537100017,0.415899992,0.503759682
0.6,0.496199995,0.372200012,0.45795691
0.7,0.470299989,0.349999994,0.432274729
0.8,0.444299996,0.320100009,0.402706087
0.9,0.330599993,0.184,0.275179207
1.0,0.0,0.0,2.1e-08
